task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff
sugar,3.5,rand,20,2,323821,0.0220478705984226,0.0220462544739528,1211,37.0,0.5,0.0135135135135135,0.9219544457292888,118370,127331,0.9290032346198536,0.0227672785966022,0.0241495087967592,4.507054925729359
sugar,3.5,mag,31,0,150088,0.0102189814816706,0.1696945914260617,1095,37.0,53.7,1.4513513513513514,24.73883586590121,118370,125895,0.9281897048491882,0.7045430321378643,0.7049214605494728,3.65896859039635
sugar,3.5,act,31,0,150088,0.0102189814816706,0.0736149481948005,1156,37.0,80.8,2.183783783783784,23.61694307060082,118370,122677,0.9295182748186926,0.9288777710435432,0.9289491304103932,1.9333629508669128
sugar,3.5,rand,31,0,150088,0.0102189814816706,0.0101525678121941,991,37.0,0.5,0.0135135135135135,0.6708203932499369,118370,127321,0.9288792934249264,0.0074015468178775,0.00764668106626,4.5072471050049066
sugar,3.5,rand,31,1,150088,0.0102189814816706,0.0103111285812292,1677,37.0,0.6,0.0162162162162162,0.8,118370,127322,0.9288417152098478,0.0127784190192787,0.0133693780920321,4.507802760288275
sugar,3.5,rand,31,2,150088,0.0102189814816706,0.0102892698872301,1121,37.0,1.0,0.027027027027027,0.7745966692414834,118370,127331,0.9289275143864276,0.0056493379264304,0.005836862948935,4.506869372021637
sugar,3.5,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,983,37.0,58.9,1.5918918918918918,26.090036412393143,118370,119178,0.9288382214427232,0.9430095089802912,0.9429537961439964,1.781005391535938
sugar,3.5,rand,1,3,7382052,0.5026188148601454,0.5024385040023477,990,37.0,0.9,0.0243243243243243,1.2206555615733703,118370,123800,0.9257745403651632,0.8658018464257097,0.8670999920192066,2.931571664864177
sugar,3.5,rand,1,4,7382052,0.5026188148601454,0.5024546233685464,1015,37.0,3.8,0.1027027027027027,1.833030277982336,118370,123422,0.9241457242444016,0.8648920384423253,0.8657545017154459,2.9414397351625787
sugar,3.5,rand,3,3,3428019,0.2334021552676763,0.2332352956385522,964,37.0,0.7,0.0189189189189189,0.7810249675906654,118370,126435,0.9263697956421496,0.6996117077461063,0.7004720327329034,4.070524311266043
sugar,3.5,rand,3,4,3428019,0.23340215526767633,0.23363854497698103,978,37.0,10.3,0.2783783783783784,2.6851443164195103,118370,126469,0.9265160635460189,0.7108786368548764,0.7118447884885097,4.006275130026989
