task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,3.5,act,1,0,7382052,0.5026188148601454,0.8250565186461195,49.333333333333336,50.66666666666666,1.027027027027027,37.74770044504551,99827,99567,0.7609955134772318,0.998841514370088,0.9989309965140428,0.6507077165836485,179
sugar,3.5,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,49.333333333333336,36.333333333333336,0.7364864864864865,3.39934634239519,99827,100373,0.7571422302189845,0.9725817770961634,0.9726487798793804,1.5988180395254603,176
sugar,3.5,rand,2,0,4770900,0.3248343555174452,0.3251295103942352,49.333333333333336,0.3333333333333333,0.0067567567567567,0.4714045207910317,99827,112050,0.727887328538109,0.7704383409785034,0.7733607304014196,3.997898691371315,170
sugar,3.5,rand,2,1,4770900,0.3248343555174452,0.3247583482547964,49.333333333333336,62.0,1.2567567567567568,7.874007874011811,99827,112460,0.728989012958031,0.7763397213762289,0.7794252458049674,3.945857529530899,171
sugar,3.5,rand,2,2,4770900,0.3248343555174452,0.3247394444622391,49.333333333333336,3.0,0.0608108108108108,0.816496580927726,99827,112299,0.7300308284535209,0.7829211910778566,0.7862519864562911,3.951560724441472,169
sugar,3.5,dp,2,0,4770900,0.3248343555174452,0.7627094809660686,49.333333333333336,2.6666666666666665,0.054054054054054,1.247219128924647,99827,116555,0.728787830366559,0.0669226588095777,0.085899327970396,4.822677979823805,170
sugar,3.5,dp,2,1,4770900,0.3248343555174452,0.7627094809660686,49.333333333333336,0.0,0.0,0.0,99827,116199,0.7280835779823853,0.0584713562466449,0.0760582967296268,4.836139797934549,167
sugar,3.5,dp,2,2,4770900,0.3248343555174452,0.7627094809660686,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,116452,0.72929126555154,0.0627271825176681,0.0811362856834113,4.834058272299869,173
sugar,3.5,act,2,0,4770900,0.3248343555174452,0.6870925302194076,49.333333333333336,28.666666666666668,0.581081081081081,8.178562764256865,99827,100117,0.7616211453744494,0.9986699570328144,0.9987618575164032,0.6584082232011746,182
sugar,3.5,mag,3,0,3428019,0.2334021552676763,0.686400230906606,49.333333333333336,41.0,0.831081081081081,2.160246899469287,99827,101118,0.7567732967311576,0.961569489144272,0.9616775352528852,1.8104001468749729,176
sugar,3.5,rand,3,0,3428019,0.2334021552676763,0.233949453645353,49.333333333333336,9.333333333333334,0.1891891891891892,1.699673171197595,99827,113521,0.7254324741809477,0.6941094934980633,0.6975159634981396,4.334098941358199,185
sugar,3.5,rand,3,1,3428019,0.2334021552676763,0.2333254769575554,49.333333333333336,2.6666666666666665,0.054054054054054,1.247219128924647,99827,113686,0.7274095288949297,0.7056357295961633,0.709513434260143,4.327456992683565,176
sugar,3.5,rand,3,2,3428019,0.2334021552676763,0.2334372896704468,49.333333333333336,20.33333333333333,0.4121621621621621,14.704496666741854,99827,113786,0.7267935815043854,0.7203912656745344,0.7240376302253585,4.25975506244695,171
sugar,3.5,dp,3,0,3428019,0.2334021552676763,0.686400230906606,49.333333333333336,1.3333333333333333,0.027027027027027,0.9428090415820634,99827,116459,0.7290154446327503,0.0795482031981177,0.0985072312083365,4.82573092870314,170
sugar,3.5,dp,3,1,3428019,0.2334021552676763,0.686400230906606,49.333333333333336,1.3333333333333333,0.027027027027027,0.4714045207910317,99827,116393,0.7283911142375239,0.0697356024678548,0.0884193305194589,4.837811120259421,171
sugar,3.5,dp,3,2,3428019,0.2334021552676763,0.686400230906606,49.333333333333336,0.3333333333333333,0.0067567567567567,0.4714045207910317,99827,116577,0.7303045567575779,0.0714327552151292,0.0946710843680325,4.830080410233449,170
sugar,3.5,act,3,0,3428019,0.2334021552676763,0.5680461996567427,49.333333333333336,36.66666666666666,0.7432432432432432,3.299831645537222,99827,100769,0.7614991482112436,0.998604194835146,0.9987023952093874,0.6695235251760656,178
